2026-05-27 23:05:22,920 | INFO | Rectangle | jfhdh
2026-05-27 23:16:55,218 | INFO | Rectangle | hyht
2026-05-27 23:17:11,637 | INFO | Rectangle | hyht
2026-05-27 23:17:11,637 | INFO | Rectangle | hyht
2026-05-27 23:37:10,448 | INFO | Rectangle | a
2026-05-27 23:44:17,740 | INFO | Rectangle | a
2026-05-27 23:44:22,535 | INFO | Rectangle | b
2026-05-27 23:46:15,589 | INFO | Rectangle | a
2026-05-27 23:46:21,023 | INFO | Rectangle | b
2026-05-27 23:46:21,024 | INFO | Rectangle | c
2026-05-27 23:46:21,024 | INFO | Rectangle | created
2026-05-27 23:47:46,435 | INFO | Rectangle | a
2026-05-27 23:47:51,202 | INFO | Rectangle | b
2026-05-27 23:47:51,203 | INFO | Rectangle | c
2026-05-27 23:47:51,203 | INFO | Rectangle | created
2026-05-27 23:51:27,797 | INFO | Rectangle | a
2026-05-27 23:51:29,752 | INFO | Rectangle | b
2026-05-27 23:51:29,753 | INFO | Rectangle | c
2026-05-27 23:51:29,754 | INFO | Rectangle | created
2026-05-28 08:23:26,058 | INFO | Rectangle | created
2026-05-28 08:23:26,058 | INFO | circle | creating dictionary
2026-05-28 08:23:26,059 | INFO | circle | calculating area
2026-05-28 08:23:26,059 | INFO | circle | calculating perimeter
2026-05-28 08:23:26,059 | INFO | Rectangle | jfhdh
2026-05-28 08:23:55,324 | INFO | Rectangle | a
2026-05-28 08:24:00,616 | INFO | Rectangle | b
2026-05-28 08:24:00,616 | INFO | Rectangle | c
2026-05-28 08:24:00,616 | INFO | Rectangle | created
2026-05-28 08:26:10,268 | INFO | Rectangle | a
2026-05-28 08:30:43,921 | INFO | Rectangle | a
2026-05-28 08:31:35,321 | INFO | Rectangle | a
2026-05-28 08:32:52,691 | INFO | Rectangle | b
2026-05-28 08:32:52,693 | INFO | Rectangle | c
2026-05-28 08:32:52,693 | INFO | Rectangle | created
2026-05-28 08:32:57,094 | INFO | Rectangle | a
2026-05-28 08:34:19,158 | INFO | Rectangle | a
2026-05-28 08:36:43,192 | INFO | Rectangle | a
2026-05-28 08:36:49,664 | INFO | Rectangle | b
2026-05-28 08:36:49,665 | INFO | Rectangle | c
2026-05-28 08:36:49,665 | INFO | Rectangle | created
2026-05-28 09:48:21,258 | INFO | Rectangle | a
2026-05-28 09:48:48,598 | INFO | Rectangle | a
2026-05-28 09:49:06,565 | INFO | Rectangle | a
2026-05-28 09:49:10,570 | INFO | Rectangle | b
2026-05-28 09:53:42,759 | INFO | Rectangle | a
2026-05-28 09:55:40,409 | INFO | Rectangle | a
2026-05-28 10:13:21,004 | INFO | Rectangle | a
2026-05-28 10:14:45,082 | INFO | Rectangle | a
2026-05-28 10:15:26,334 | INFO | Rectangle | a
2026-05-28 10:15:48,256 | INFO | Rectangle | a
2026-05-28 10:16:02,446 | INFO | Rectangle | a
2026-05-28 10:17:03,700 | INFO | Rectangle | a
2026-05-28 10:17:07,013 | INFO | Rectangle | b
2026-05-28 10:20:01,778 | INFO | Rectangle | a
2026-05-28 10:20:05,495 | INFO | Rectangle | b
2026-05-28 10:20:58,812 | INFO | Rectangle | a
2026-05-28 10:21:01,949 | INFO | Rectangle | b
2026-05-28 10:22:03,494 | INFO | Rectangle | a
2026-05-28 10:22:06,506 | INFO | Rectangle | b
2026-05-28 10:22:59,356 | INFO | Rectangle | a
2026-05-28 10:23:02,856 | INFO | Rectangle | b
2026-05-28 10:23:29,774 | INFO | Rectangle | a
2026-05-28 10:23:37,013 | INFO | Rectangle | b
2026-05-28 10:24:01,481 | INFO | Rectangle | a
2026-05-28 10:24:12,296 | INFO | Rectangle | b
2026-05-28 10:24:12,297 | INFO | circle | creating dictionary
2026-05-28 10:24:12,297 | INFO | circle | calculating area
2026-05-28 10:24:12,297 | INFO | circle | calculating perimeter
2026-05-28 10:24:12,298 | INFO | Rectangle | jfhdh
2026-05-28 10:24:12,298 | INFO | Rectangle | c
2026-05-28 11:04:56,397 | INFO | Rectangle | created
2026-05-28 11:04:56,398 | INFO | Rectangle | creating dictionary
2026-05-28 11:04:56,398 | INFO | Rectangle | calculating area
2026-05-28 11:04:56,398 | INFO | Rectangle | calculating perimeter
2026-05-28 11:04:56,398 | INFO | Rectangle | jfhdh
2026-05-28 11:15:07,081 | INFO | Rectangle | jfhdh
2026-05-28 11:17:20,277 | INFO | Rectangle | created
2026-05-28 11:25:03,185 | INFO | Rectangle | created
2026-05-28 11:25:03,185 | INFO | circle | creating dictionary
2026-05-28 11:25:03,186 | INFO | circle | calculating area
2026-05-28 11:25:03,186 | INFO | circle | calculating perimeter
2026-05-28 11:25:03,186 | INFO | Rectangle | jfhdh
2026-05-28 11:27:22,749 | INFO | Rectangle | user input not in the options
2026-05-28 11:27:38,388 | INFO | Rectangle | a
2026-05-28 11:28:05,726 | INFO | Rectangle | user input not in the options
2026-05-28 11:28:12,782 | INFO | Rectangle | created
2026-05-28 11:30:56,205 | INFO | Rectangle | created
